Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkParkourDesc,progression,perk Agi,,,"Specialize in acrobatically getting anywhere you want to go, no matter how far up or far down that may be.",,"Spezialisiere dich auf akrobatische Fortbewegung und gelange überall hin, egal wie hoch oder tief.","Especialízate en llegar acrobáticamente a cualquier lugar al que quieras ir, sin importar cuán lejos o abajo pueda estar.","Apprenez à vous déplacer avec agilité où que vous vouliez, et ce peu importe la hauteur ou la profondeur.","Specializzati nell'arrivare dove vuoi acrobaticamente, non importa quanto sia in alto o in basso.",どれだけ上でも下でも、どこでも行きたい場所にアクロバティックに行く能力に特化しましょう。,높이에 상관없이 원하는 곳은 어디든 곡예 기술로 갈 수 있는 일에 특화되었습니다.,"Wyspecjalizuj się w akrobatyce, aby z łatwością piąć się na przeszkody i z nich zeskakiwać.","Especialize-se em chegar a qualquer lugar que deseja acrobaticamente, não importa a distância.","Акробатически добирайтесь в желаемое место, как бы высоко или глубоко это ни было.",Akrobatik hareketlerle yükseklik veya alçaklık demeden istediğin her yere gitmede uzmanlaş.,专精于运用杂技前往各种你想去的地方，无论是在高天还是在地底。,擅長用奇妙地方法去你想去的地方，無論多高或多低。,"Especialízate en llegar acrobáticamente a cualquier lugar al que quieras ir, sin importar cuán lejos o abajo pueda estar."
perkParkourName,progression,perk Agi,,,Parkour,,Parkour,Parkour,Parkour,Parkour,パルクール,파쿠르,Parkour,Parkour,Паркур,Parkur,跑酷,跑酷,Parkour
perkParkourRank1Desc,progression,perk Agi,,,Tumbler,,Akrobatik-Anfänger,Mareado,Acrobate,Saltimbanco,曲芸師,곡예사,Akrobata,Acrobata,Неваляшка,Cambaz,杂技演员,雜技演員,Mareado
perkParkourRank1LongDesc,progression,perk Agi,,,You can do a few moves but mostly you are just used to falling on your face. Increase safe fall distance by one meter and reduce stamina cost of jumping by 10%.,,"Du beherrschst ein paar Tricks, meistens fällst du aber auf die Nase. Erhöht die sichere Fallhöhe um einen Meter und verringert die Ausdauerkosten von Sprüngen um 10 %.","Puedes hacer algunos movimientos, pero sobre todo estás acostumbrado a caer de bruces. Aumenta la distancia segura de caída en un metro y reduce el costo de resistencia de los saltos en un 10 %.","Vous savez faire quelques pirouettes, mais la plupart du temps, vous atterrissez la tête la première. Augmentez votre distance de saut sans risque d'un mètre, et réduisez de 10 % le coût en endurance des sauts.",Riesci a fare qualche mossa ma per la maggior parte sei abituato a cadere di faccia. Aumenta l'altezza di caduta sicura di un metro e riduce il costo in vigore del salto del 10%.,ちょっとした動きはできますが、だいたい顔面着地してしまいます。安全な落下距離が1m伸び、ジャンプのスタミナコストが10%低下。,약간씩 이동할 수는 있지만 대부분 얼굴부터 떨어지곤 합니다. 안전 낙하 거리가 1미터까지 증가하며 점프 시 소모되는 스태미너가 10% 감소합니다.,"Znasz kilka tricków, ale twoją specjalnością jest wciąż padanie na twarz. Bezpieczna odległość upadku zwiększa się o 1 m, a koszt wytrzymałości skoku spada o 10%.","Você sabe alguns movimentos, mas está acostumado a cair de cara. Aumenta em um metro a distância segura de queda e reduz em 10% o custo de vigor dos pulos.","Пару движений вы можете сделать, но чаще просто попадаете впросак. Увеличьте безопасную дистанцию падения на один метр и уменьшите расход выносливости на прыжок на 10%.","Birkaç hareket yapıyorsun ama yüzünün üzerine düşmeye de alışmışsın. Emniyetli düşüş mesafesini bir metre artır, zıplamanın dayanıklılık maliyetini %10 azalt.",你可以做一些杂技了，不过大多数时候都是脸先着地。安全跌落距离增加一米，跳跃消耗的体力降低10%。,你可以做一些動作，但多數時候你會臉朝地摔倒。增加 1 米的安全下降距離，減少 10% 的跳躍耐力消耗。,"Puedes hacer algunos movimientos, pero sobre todo estás acostumbrado a caer de bruces. Aumenta la distancia segura de caída en un metro y reduce el costo de resistencia de los saltos en un 10 %."
perkParkourRank2Desc,progression,perk Agi,,,Stuntman,,Stuntman,Especialista,Cascadeur,Stuntman,スタントマン,스턴트맨,Kaskader,Dublê,Каскадер,Dublör,特技演员,特技演員,Especialista
perkParkourRank2LongDesc,progression,perk Agi,,,"You've pulled off some stunts, but sometimes your hospital bills are larger than your paycheck. Reduce stamina cost of jumping by 20%. Increase safe fall distance by 2 meters.",,"Du hast schon ein paar beeindruckende Stunts hingelegt, aber manchmal kostet dich der Krankenhausaufenthalt mehr als du verdienst. Verringert die Ausdauerkosten von Sprüngen um 20 %. Erhöht die sichere Fallhöhe um 2 Meter.","Te han salido algunos trucos, pero a veces sus cuentas del hospital son más grandes que lo que cobras. Reduce en un 20 % el costo de la resistencia al saltar. Aumenta la distancia segura de caída en 2 metros y saltas 1 metro más alto.","Vous avez effectué un certain nombre de cascades, mais vos frais médicaux sont plus élevés que votre salaire. Réduisez de 20 % le coût en endurance des sauts. Augmentez votre distance de saut sans risque de 2 mètres.","Hai fatto qualche acrobazia, ma qualche volta il conto dell'ospedale è più grande della tua busta paga. Riduce il costo in vigore del salto del 20%. Aumenta l'altezza di caduta sicura di 2 metri.",ジャンプのスタミナコストが20%低下し、安全な落下距離が2m伸びます。,"멋진 액션을 펼치긴 했지만, 진료비 청구서가 월급보다 많이 나올 때도 있습니다. 점프 시 소모되는 스태미너가 20% 감소합니다. 안전 낙하 거리가 2미터까지 증가합니다.","Kilka ryzykownych akcji wyszło ci świetnie, ale twoje zarobki to nic w porównaniu z rachunkami ze szpitala. Koszt wytrzymałości skoku spada o 20%. Wysokość bezpiecznego upadku wzrasta o 2 m, a skoku o 1.","Você consegue fazer algumas acrobacias, mas suas despesas médicas são maiores que o seu salário. Reduz em 20% o custo de vigor dos pulos. Aumenta em 2 metros a distância de queda segura.","Вы выполнили несколько трюков, но заработок порой не покрывает больничные счета. Уменьшите расход выносливости на прыжок на 20%. Безопасная высота падения повышается до 2 метров.",Riskli gösteriler yapıyorsun ancak maaşın hastane masraflarını karşılamıyor. Zıplamanın dayanıklılık maliyetini %20 azalt. Emniyetli düşüş mesafesini 2 metre artır.,你掌握了一些特技，不过有时你的住院费比工资还高。跳跃消耗的耐力降低 20%。安全跌落距离增加 2 米。,你完成了一些特技，但有时你的医疗费比你的薪水还要高。减少20%的跳跃耐力消耗。安全落地距离增加2公尺。,"Te han salido algunos trucos, pero a veces tus cuentas del hospital son más grandes que lo que ganas. Reduce en un 20% el costo de resistencia al saltar. Aumenta la distancia segura de caída en 2 metros."
perkParkourRank3Desc,progression,perk Agi,,,Adrenaline Junkie,,Adrenalinjunkie,Adicto a la adrenalina,Accro à l'adrénaline,Dipendente da adrenalina,アドレナリン中毒,아드레날린 중독자,Entuzjasta adrenaliny,Viciado em Adrenalina,Адреналинщик,Adrenalin Bağımlısı,作死高手,玩的就是心跳,Adicto a la adrenalina
perkParkourRank3LongDesc,progression,perk Agi,,,You're an adrenaline junkie and capable of death defying acts of insanity. Reduce stamina cost of jumping by 30%. Increase safe fall distance by 4 meters and never get a broken leg when falling.,,"Du bist ein Adrenalinjunkie und beeindruckst die Massen mit deinen verrückten, todesverachtenden Stunts. Verringert die Ausdauerkosten von Sprüngen um 30 %. Erhöht die sichere Fallhöhe um 4 Meter und du brichst dir nie wieder ein Bein beim Aufprall.","Ahora eres un adicto a la adrenalina, y asombras a una gran multitud con tus temerosos actos. Reduce en un 30 % el costo de la resistencia al saltar. Aumenta la distancia segura de caída en 4 metros y nunca te fracturarás las piernas al caer.",Vous êtes désormais accro à l'adrénaline et épatez la foule avec vos cascades périlleuses défiant les lois de la gravité. Réduisez de 30 % le coût en endurance des sauts. Augmentez votre distance de saut sans risque de 4 mètres. Vous ne pouvez plus vous casser la jambe en tombant.,Hai sviluppato una dipendenza da adrenalina e stupisci tutti con le tue azioni folli che sfidano la morte. Riduce il costo in vigore del salto del 30%. Aumenta l'altezza di caduta sicura di 4 metri e non ti rompi mai una gamba.,アドレナリン中毒のあなたは、命知らずの行為で大勢の観客を沸かせています。ジャンプのスタミナコストが30%低下し、安全な落下距離が4m伸び、落ちても骨折しません。,"당신은 아드레날린 중독자로, 목숨을 건 정신 나간 액션도 펼칠 수 있습니다. 점프 시 소모되는 스태미너가 30% 감소합니다. 추락 거리가 4 미터로 증가하며 떨어져도 다리가 부러지지 않습니다.","Jesteś maniakiem adrenaliny, wymykającym się śmierci w czasie szalonych wyczynów. Koszt wytrzymałości skoku spada o 30%. Wysokość bezpiecznego upadku wzrasta o 4 m. Nigdy nie złamiesz po upadku nogi.",Agora você é um viciado em adrenalina e multidões de pessoas assistem seus atos desafiadores de insanidade. reduz em 30% o custo de vigor dos pulos. Aumenta em 4 metros a distância de queda segura e anula o efeito de torção na perna.,"Вы теперь адреналинщик, бросающий вызов смерти безумными выходками. Уменьшите расход выносливости на прыжок на 30%. Безопасная высота падения повышается до 4 метров, нет переломов ног при падении.",Adrenaline bağımlı oldun ve delice ölüme meydan okuyan hareketler yapabiliyorsun. Zıplamanın dayanıklılık maliyetini %30 azalt. Emniyetli düşüş mesafesini 4 metre artır ve düştüğünde asla bacak kırılması yaşama.,你是一个肾上腺素旺盛的人，经常有一些疯狂的作死行为。跳跃所消耗的耐力减少 30%。安全跌落距离增加 4 米，跌落后腿部永远不会骨折。,你現在信奉玩的就是心跳，你現在藐視死亡的瘋狂行爲讓很多人震驚。減少30%的跳躍耐力消耗。安全落地距離增加4公尺，降落時從來沒有斷過腿。,"Ahora eres un adicto a la adrenalina, y asombras a una gran multitud con tus temerosos actos. Reduce en un 30 % el costo de la resistencia al saltar. Aumenta la distancia segura de caída en 4 metros y nunca te fracturarás las piernas al caer."
perkParkourRank4Desc,progression,perk Agi,,,Parkour Master,,Parkourmeister,Maestro del parkour,Maître du parkour,Mostro del parkour,パルクールマスター,파쿠르 마스터,Wyczynowy parkour,Mestre do parkour,Мастер паркура,Parkur Ustası,跑酷大师,跑酷達人,Maestro del parkour
perkParkourRank4LongDesc,progression,perk Agi,,,"You are now a parkour master and can navigate difficult situations easily. Reduce stamina cost of jumping by 40%. Increase safe fall distance by 5 meters, can jump 1 meter higher, and never get a sprained or broken leg when falling.",,"Du bist ein Parkourmeister und bewältigst auch gefährliche Situationen mit Leichtigkeit. Verringert die Ausdauerkosten von Sprüngen um 40 %. Erhöht die sichere Fallhöhe um 5 Meter, deine Sprunghöhe um 1 Meter und du brichst oder verstauchst dir nie wieder ein Bein beim Aufprall.","Ahora eres un maestro del parkour y puedes desenvolverte fácilmente en situaciones difíciles. Reduce en un 40 % el costo de la resistencia al saltar. Aumenta la distancia segura de caída en 5 metros, puedes saltar 2 metros más alto y nunca te romperás ni te esguinzarás una pierna al caer.","Vous êtes désormais un maître du parkour et réussissez à vous déplacer sur les terrains les plus ardus sans aucune difficulté. Réduisez de 40 % le coût en endurance des sauts. Augmentez votre distance de saut sans risque de 5 mètres, votre hauteur de saut de 1 mètres et vous ne pouvez plus vous casser la jambe ou souffrir d'une entorse en tombant.","Ora sei un mostro del parkour e puoi gestire facilmente situazioni difficili. Riduce il costo in vigore del salto del 40%. Aumenta l'altezza di caduta sicura di 5 metri, puoi saltare 1 metri più in alto, e non ti sloghi o rompi mai una gamba.",パルクールマスターになったあなたは、難しい状況でも簡単に移動できます。ジャンプのスタミナコストが40%低下し、安全な落下距離が5m伸び、ジャンプの高さが1m増加。落ちても捻挫や骨折をしません。,"당신은 파쿠르의 제왕으로 어떤 상황에서도 쉽게 이동할 수 있습니다. 점프 시 소모되는 스태미너가 40% 감소합니다. 추락 거리가 5 미터로 증가하며 1미터 더 높이 뛸 수 있고, 떨어져도 다리를 삐거나 부러뜨리지 않습니다.
","Parkour to twoja druga natura. Bez problemu poruszasz się po trudnym terenie. Koszt wytrzymałości skoku spada o 40%. Wysokość bezpiecznego upadku wzrasta o 5 m, a skoku o 1. Nigdy nie złamiesz ani nie skręcisz po upadku nogi.","Agora você é um mestre do parkour e consegue pular trechos difíceis com facilidade. Reduz em 40% o custo de vigor dos pulos. Aumenta em 5 metros a distância de queda segura, permite pular 1 metros mais alto e anula a efeito de torção ou quebra na perna.","Вы теперь мастер паркура и легко можете справляться с трудными ситуациями. Уменьшите расход выносливости на прыжок на 40%. Безопасная высота падения повышается до 5 метров, высота прыжка до 1 метров, ноги не травмируются при падении.","Artık parkur ustası oldun ve zor durumları kolayca idare edebiliyorsun. Zıplamanın dayanıklılık maliyetini %40 azalt. Emniyetli düşüş mesafesini 5 metre, zıplama yüksekliğini 1 metre artır ve düştüğünde asla bilek incinmesi veya bacak kırılması yaşama.",你现在是跑酷大师了，你能轻松通过复杂的路况。跳跃所消耗的耐力减少 40%。安全跌落距离增加 5 米，跳跃高度增加 1 米。跌落后腿部永远不会扭伤或骨折。,你現在是一名跑酷達人，可以輕鬆應對各種困難。減少40%的跳躍耐力消耗。安全落地距離增加5公尺，可以跳高1公尺，降落時從來沒有斷過腿。,"Ahora eres un maestro del parkour y puedes desenvolverte fácilmente en situaciones difíciles. Reduce en un 40 % el costo de la resistencia al saltar. Aumenta la distancia segura de caída en 5 metros, puedes saltar 1 metro más alto y nunca te romperás ni te esguinzarás una pierna al caer."
